disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
4517,4097,27588850.06,,27588850.06,166825804.5,162881411.6,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,819612.98,57ad6acf6b452a7a585bd70835402d09d44260a9,2023-10-05T05:42:48.731Z,510d5687-06e0-4d79-a316-cd2cc81ea717
4518,5272,32520356.66,,32520356.66,205423945,203473719.9,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,2478806.22,f4cb4231ff2f637a846520156608005af0df53fa,2023-10-05T05:42:48.731Z,8087071b-cecb-4219-954f-9f88497f58b8
4519,165,2242253.35,2069844.91,172408.44,5211308.74,436586.61,4224689.69,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,2818297,3ef985e57550a8b8ea71991c2ff209ab1dd48a16,2023-10-05T05:42:48.731Z,efd4e184-e903-43c6-a3e7-9b454bd93dc5
4565,,,,,2573886,11272.5,2322226.82,2023-10-05T00:00:00.000Z,,364010.82,f1ea56f58449cce880ee236513db0cf2f9f78659,2023-10-05T03:42:25.243Z,51faf79d-7f15-488e-b2f8-b3750387b21a
4566,,,,,3417230.22,2234722.45,1026938.76,2023-10-05T00:00:00.000Z,,711233.49,a60c6fe29012f070218faeae356b5e4a4b8044b2,2023-10-05T03:42:25.243Z,8d1dc9e2-19f7-4cf2-87d4-543d285b2cc1
4567,,,,,394706808.3,69730011.37,280672428.3,2023-10-05T00:00:00.000Z,,11324502.48,19054d701eba7bc5cc34eeaf0d34db06aa977524,2023-10-05T03:42:25.243Z,6e1a9c22-7821-4e75-8d88-9c5be01debe6
3108,,,,,546984.3,546984.3,,2023-10-05T00:00:00.000Z,,,3b198b92e27f9f9ad624502c556408ab1c99edd0,2023-10-05T06:03:23.698Z,13f282af-2734-4724-bf57-56c3f10b5938
3109,,,,,5541924.38,5534868.12,7056.26,2023-10-05T00:00:00.000Z,,,aa97356cf9b295d4b0750d462d00a6e282fb5170,2023-10-05T06:03:23.698Z,1df0220f-56c9-4991-8e28-80a8d5c3d3da
3110,,,,,14903535.96,14903535.96,,2023-10-05T00:00:00.000Z,,,075d599b0aed878b8b2da526244d33ca281a06ef,2023-10-05T06:03:23.698Z,f2007553-9643-4ad5-8749-3d3d90facd5e
4568,,,,,29536845.56,14712500.34,12477770.82,2023-10-05T00:00:00.000Z,,1542180.56,c718b24fa6b849f60e772a8aa17e85fb617e7336,2023-10-05T03:42:25.243Z,7de41b3d-eb9e-485b-9c93-5584b8b862dc
3111,,,,,626626.79,626626.79,,2023-10-05T00:00:00.000Z,,,38f189c6dfa877a198e0848954b7b105af5d509e,2023-10-05T06:03:23.698Z,9951deda-46ec-4467-8728-6367a5cb9509
3112,,,,,5664851.19,5641754.36,23096.83,2023-10-05T00:00:00.000Z,,,de6d86b0ff81bf46c32b0da262cea2ab06adfa28,2023-10-05T06:03:23.698Z,ef8c764c-6731-4700-a163-9aa1cb1e4556
3113,,,,,,,,2023-10-05T00:00:00.000Z,,,d3e702ea3e0770f267cf6a97d819a6667bbaa43a,2023-10-05T06:03:23.698Z,54837c4d-0c4b-4c44-b8a0-2efc05fff5c4
4521,2313,15978555.91,,15978555.91,281671807.4,273315459,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,1092039.79,f56c308fc73889f4ff726034abc4898236fd2763,2023-10-05T05:42:48.731Z,825210d7-1f1e-41a6-b840-df9e630ba5fa
4522,1071,5766073.16,,5766073.16,300556733.9,296610492.3,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,0,6d65794d58784389af2fa3506b799471d9eaac88,2023-10-05T05:42:48.731Z,f1d4699b-1137-44c4-add4-f66b8c316880
3114,,,,,2717998.2,2717998.2,0,2023-10-05T00:00:00.000Z,,,b8dd0a08f668d6a460b55f00af2f86b19d385ea0,2023-10-05T06:03:23.698Z,85452d1b-65f4-4a10-b6cd-1244c46ea739
3115,,,,,4309405.82,4277671.02,31734.8,2023-10-05T00:00:00.000Z,,,77b0ade6cffa5c528f66a7086ff6e2f977e77dd5,2023-10-05T06:03:23.698Z,f04cd500-09c4-4241-bd06-6b836e4e067f
4574,,,,,41202239.15,26804418.62,10260092.09,2023-10-05T00:00:00.000Z,,609850.64,bf00ad8107d424f8db6dbc715d0622c28c7914c8,2023-10-05T03:42:25.243Z,4ec721d8-ccd1-4d28-a315-7a21a1b4b4b0
3116,,,,,4462784.19,4462784.19,0,2023-10-05T00:00:00.000Z,,,3819ce7376f1591b9c70f76fe66196fe83581cf0,2023-10-05T06:03:23.698Z,d9cc3fe0-1f0f-4e7c-ad0f-6138ee09b8c9
4575,,,,,109165756.2,73162363.1,33170096.29,2023-10-05T00:00:00.000Z,,4541698.69,686ab117ffb37e82fdf00842a071288615c58cd6,2023-10-05T03:42:25.243Z,dce2ff54-e755-4d4e-8a7b-71d085c48020
4523,4416,22731301.78,,22731301.78,150848808.6,142230264.2,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,1415448.05,073aebadb51ee2ab7df02aadea937b75f7743f41,2023-10-05T05:42:48.731Z,3b336a5a-8fe0-49e1-9bab-7853f5f09b39
3117,,,,,4478262.25,4478262.25,,2023-10-05T00:00:00.000Z,,,f39429e9b5e5bcd168810a177f5e074b8de8487e,2023-10-05T06:03:23.698Z,f2fd3aaf-d017-430a-9eea-8a099f5eb57f
3118,,,,,728068.5,715047,13021.5,2023-10-05T00:00:00.000Z,,,9e77732efafe19d139074f0db5cb162b5f4fbf34,2023-10-05T06:03:23.698Z,9217e7b0-72fa-4f46-aa2c-3ebd15cc9019
4578,,,,,10031186.26,7653954.23,1652381.68,2023-10-05T00:00:00.000Z,,1141887.14,7f470fa864278cf32e1533dbe185aa3b5d13a4c9,2023-10-05T03:42:25.243Z,8c95f2ac-8175-41d0-91ae-2eb5c254ec13
4579,,,,,13231743.34,3182067.01,8848252.61,2023-10-05T00:00:00.000Z,,558290.78,e805fb81f03ded9b6d76aaa69d1cfcc53c57a810,2023-10-05T03:42:25.243Z,4ecfd876-d6bf-4ba4-b93e-14fe651e1102
4580,,,,,38252598.51,35100608.39,2226587.62,2023-10-05T00:00:00.000Z,,1122162.41,8177fa0368534ad15443a6817ad8f7f34503b3a6,2023-10-05T03:42:25.243Z,7a3d1887-18b9-4408-84ee-6bbb05dbcd78
4581,,,,,42228444.34,25946636.3,12366060.79,2023-10-05T00:00:00.000Z,,913878.6,6240f46925b9986a5ee3b52d80c04ea9513038fc,2023-10-05T03:42:25.243Z,784d6457-a31e-4fa9-94d3-23267f914bbf
4582,,,,,454701.81,454701.81,,2023-10-05T00:00:00.000Z,,0,200619cefee984c3c36cd4cbda5fb23c81225be2,2023-10-05T03:42:25.243Z,70529177-2fca-4638-823b-654aed4d2e28
4583,,,,,13696977.59,1157604.68,11696876.33,2023-10-05T00:00:00.000Z,,1703690.13,c178f786df1f632c6c3a19ad882be9fdc9043b78,2023-10-05T03:42:25.243Z,2bfe865d-8c6d-4fce-9316-b83020208f69
4584,,,,,25727222.49,6723817.79,18204219.64,2023-10-05T00:00:00.000Z,,893879.67,2a9f247cc9476e1525794562c99ee6b1755e45e4,2023-10-05T03:42:25.243Z,1d105aca-b604-4e2c-b2fb-eddcad4710d3
3120,,,,,16632084.85,16380812.85,251272,2023-10-05T00:00:00.000Z,,,32171714c61c6a40dee6f9e0370e3096b4c5731d,2023-10-05T06:03:23.698Z,fec728f6-d50d-45f8-9601-389ca2568c7c
3123,,,,,1539100.4,1536609.71,2490.69,2023-10-05T00:00:00.000Z,,,fdcbb2d2c13afa416be930d6311b22010ec1c7a1,2023-10-05T06:03:23.698Z,df225283-4deb-4795-be6d-658df2188cf1
4585,,,,,30299572.83,1371959.12,28814689.34,2023-10-05T00:00:00.000Z,,0,17f30eed5afee55b4611a5725602b0952d8f5989,2023-10-05T03:42:25.243Z,2f9ebf6d-e023-4433-b681-d839c30d393e
3126,,,,,299025.95,299025.95,,2023-10-05T00:00:00.000Z,,,cb72b181e9c637baf407b52b7c1eb9efa6060a80,2023-10-05T06:03:23.698Z,1f45b9c0-11fa-4704-94fa-9bd7f6611187
4588,,,,,30579942.24,894353.5,27228223.77,2023-10-05T00:00:00.000Z,,530781.87,244b05a5c7c5e34e4ffd68501f447d1818ff37b4,2023-10-05T03:42:25.243Z,391b0ee2-3f16-49e3-a39b-164f7b60ce20
3127,,,,,41304168.5,41304168.5,,2023-10-05T00:00:00.000Z,,,d94926c734a5201338e62b038362af79e93e8e1c,2023-10-05T06:03:23.698Z,245e43cf-1f2c-40f1-8f7e-6379aa6f0913
3131,,,,,42178183.02,41666045.08,512137.94,2023-10-05T00:00:00.000Z,,,131397f1facc4190ad53b84806352c02103573c4,2023-10-05T06:03:23.698Z,606b06cc-076d-4efb-b5aa-835cb44ef01b
3132,,,,,5544516.69,5523516.23,21000.46,2023-10-05T00:00:00.000Z,,,9cb4dfb23737e5313d03bb7aa8ad80a2fd280d00,2023-10-05T06:03:23.698Z,5a04cb0b-59f1-438c-9c09-41d0378d8031
3133,,,,,1992256,1992256,0,2023-10-05T00:00:00.000Z,,,35189ff7425afbd4522df6c7144bfb29e497a77c,2023-10-05T06:03:23.698Z,b9dc21b4-66cf-470b-9fd4-1cd71212dfb0
4527,1322,9536855.97,,9536855.97,17496151.27,17418334.55,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,126795.33,e969b6ca54e4ac9355f14353672a44f179d1d277,2023-10-05T05:42:48.731Z,afa8c630-c2c0-4852-8b18-528a60162c3f
4589,,,,,13898242.18,1463860.02,12063524.66,2023-10-05T00:00:00.000Z,,705947.06,4433c5f8c912646508eb30afa1e69a418420a0a3,2023-10-05T03:42:25.243Z,4557fd8a-f306-44e7-9998-7649970990ca
4528,7442,50415676.41,,50415676.41,313742264.2,299192248.5,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,1670754.51,2e6627d5af5b2dac14692b6f4c36c1d4d80044a5,2023-10-05T05:42:48.731Z,e288fd4c-4ae5-4554-b01d-7cf31569ee58
4591,,,,,2445957.06,2445957.06,,2023-10-05T00:00:00.000Z,,0,63b24dedff1c486b8bdac521d80f38b77e49b530,2023-10-05T03:42:25.243Z,dc413b09-dcbc-42c6-8e57-00ed65364bdc
4592,,,,,73754874.17,44428477.49,24612272.82,2023-10-05T00:00:00.000Z,,2708163.65,c96a31c896356a8ad1204ff464024f78e0748325,2023-10-05T03:42:25.243Z,e4fbde2f-31b2-4735-889e-c6dbc01bf2f3
4593,,,,,11313737.08,1871773.48,8621328.88,2023-10-05T00:00:00.000Z,,3301155.39,8b94270e437932af40b373755b34dc9043d66fcd,2023-10-05T03:42:25.243Z,a7f57ce8-935c-4383-bf88-d917a6c8b627
4594,,,,,16498761.08,2829590.01,12855274.15,2023-10-05T00:00:00.000Z,,0,fb8e10e9ed49364a1b985d3f82fa424dd318ff07,2023-10-05T03:42:25.243Z,a4e66216-aa0e-40de-b9ae-34d4bb2edec2
4530,7508,46479755.35,,46479755.35,84627599.8,83304033.26,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,2373031.2,86af3d7941dcb210b015e32d1f15ed2b3d63d851,2023-10-05T05:42:48.731Z,136e6a36-c079-4ff4-b43a-46a76f30f825
4597,,,,,15767445.2,12802839.71,1467828.41,2023-10-05T00:00:00.000Z,,1541757.02,e8d259c7a45869521623e59802d8e621484df848,2023-10-05T03:42:25.243Z,99c323fb-11de-415a-9284-98b00c4128e1
4598,,,,,22431495.99,9872340.71,11627480.89,2023-10-05T00:00:00.000Z,,113827.65,85481f20172b9bebd3cabadb5d7e39848726c310,2023-10-05T03:42:25.243Z,fad31f85-4383-423e-908b-976eb0c90674
4623,,,,,,,,,,21920.4,95a0597f9837f780eaf91e5afe0634da3ca15039,2023-03-18T13:22:12.883Z,c1ea0113-ef74-41c1-be02-be9748590b32
4599,,,,,26096931.38,19040818.19,4396889.81,2023-10-05T00:00:00.000Z,,724190.73,5505d2801959d4b95155de85db6ecf09e9516354,2023-10-05T03:42:25.243Z,df4d913f-81fb-406b-93de-39fb07d2aaf6
4600,,,,,20317781.26,12012655.72,6278374.48,2023-10-05T00:00:00.000Z,,183834,1fc0ee0f174ff26e2182db126255104ac8b216d2,2023-10-05T03:42:25.243Z,36d16f1b-dc8e-47aa-b378-2f4e6d340dfe
4531,5283,35414966.25,,35414966.25,459950285,456963590.4,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,12036474.31,122ac487f34d13f19d72501bdaad4aea32564b74,2023-10-05T05:42:48.731Z,2bc43983-d3b1-40cd-b41f-fe836724cb1f
4603,,,,,5867014.41,5362610.94,50871.5,2023-10-05T00:00:00.000Z,,791072.26,bbaaae7639203fa0b79aa517320d54fee115cda1,2023-10-05T03:42:25.243Z,cc50b28c-8088-41dc-8c8c-5df40b999472
4604,,,,,5965730.75,282762.46,5362177.9,2023-10-05T00:00:00.000Z,,0,3f76b9ef134b6e01ecb50e8e88d1359244da3070,2023-10-05T03:42:25.243Z,37d5f559-4658-4a42-bc1f-54644919ec10
4532,251,1372935.2,,1372935.2,525090409.3,493478387,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,3193285.2,d98e64ead0f3daf2413b6c7f4a93401834bb6b05,2023-10-05T05:42:48.731Z,e48f6266-6310-4d60-ba0e-880475d5a57e
4533,362,1776377.19,,1776377.19,446235136.4,432325475.1,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,0,e888b1b9d3643df7461bb93ee2177754675cea31,2023-10-05T05:42:48.731Z,2047cd97-d775-4e5a-9a63-3db9ec06dd5e
4534,1872,10257113.36,,10257113.36,227451487.5,227085579,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,135285.01,2c643b5cf10125d1e2c22c9bac7977c3cedc2aee,2023-10-05T05:42:48.731Z,d56a6760-e1a6-49a0-9098-03c309a676db
4535,719,3888680.76,,3888680.76,84284213.71,78907676.22,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,333276.91,4401fc6b163429500c8e66f7e3c8bc3e5b91f4db,2023-10-05T05:42:48.731Z,5afcb2ba-74ea-4946-8aa1-ad638e5b0bd0
4536,1103,7210690.02,6008813.92,1201876.1,34739103.62,22862272.41,10529140.57,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,1646602.43,4ce04082d347f28ca466eb9cf5a9a82e7ef62419,2023-10-05T05:42:48.731Z,b47b88a3-0573-4d40-b3f7-b3a9bb24dbf9
4537,11,48652.35,,48652.35,15338178.94,14674523.87,,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,672595,d4ac0eef5f824e749facf88407df5410b468e0d6,2023-10-05T05:42:48.731Z,09c9ddaf-8815-4197-8e62-3a46c4bfc59b
4612,,,,,13944424.19,893375.44,11967781.29,2023-10-05T00:00:00.000Z,,0,e92e49c96a0eabdfe9033de756166dba7f10039c,2023-10-05T03:42:25.243Z,6fe53a02-42d2-4314-a288-0477853796c3
4613,,,,,2723209.79,206606.24,2204969.56,2023-10-05T00:00:00.000Z,,449655.29,5c861850bccf8f404cb9affef75999219ab57def,2023-10-05T03:42:25.243Z,230af602-e364-4955-81d0-8c392c347bf5
4541,383,1867604.07,1535767.08,331836.99,54695393,18565744.34,34812046.28,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,3208183.6,e395edeb4ef1368427e464a32cec78f641175d2d,2023-10-05T05:42:48.731Z,dca6e8ef-0bb7-4717-9b10-95ba1844fade
4542,1089,5569334.41,4951128.84,618205.57,18431295.79,13570503.11,3721958.45,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,1939144.22,275545559105938f4fd5c24f01cd24b31d6943a2,2023-10-05T05:42:48.731Z,248ff553-dca4-47ae-99e9-8ddb45bd9320
4616,,,,,28136444.65,4302527.57,22751730.56,2023-10-05T00:00:00.000Z,,378470.66,aa941e8f7f2152af99261c4f38fe9d767e6c7b71,2023-10-05T03:42:25.243Z,4c4afdf1-c151-478e-962e-692562a4c056
4548,285,1089134.7,1082812.86,6321.84,24572131.31,568345.64,22433507.22,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,733962,f30fff03e503ae2f4a742ef397fb6de1460fc541,2023-10-05T05:42:48.731Z,bcefcbcb-6578-4503-9115-d56649b4fe2e
4620,,,,,5330186.14,117036.4,5021940.71,2023-10-05T00:00:00.000Z,,0,0538f32cff64cd6b452205076cb27713305382b4,2023-10-05T03:42:25.243Z,6f4c7192-fb6a-4491-b494-ff5d03ba887c
4621,,,,,7017656.86,219635.84,6250265.78,2023-10-05T00:00:00.000Z,,0,e63a112d7eec567ec22d93059f8cabf776f8e625,2023-10-05T03:42:25.243Z,99291277-8aff-46a2-97e8-b4ae92c7ab0f
4622,,,,,1195832.71,104349.77,929367.33,2023-10-05T00:00:00.000Z,,8847.53,fee2a655f8c2682724fb00607a4fbca89a48c838,2023-10-05T03:42:25.243Z,abad3be9-d66f-4b66-b74a-86ec9bb54699
4624,,,,,3246075.8,192732.48,2863055.11,2023-10-05T00:00:00.000Z,,12632.7,10a8a95e008e537ce911f7b29f526e7400f33730,2023-10-05T03:42:25.243Z,6d63b95e-9f22-483e-a975-303af3cd8869
4625,,,,,37902550.53,7521316.85,28135525.35,2023-10-05T00:00:00.000Z,,4471659.73,fcecb5daeab08851cf0f49340631df2c8e8aa6af,2023-10-05T03:42:25.243Z,e159da8e-5b9f-4916-81bf-30a003f836ce
4557,3092,11423336.69,8178199.02,3245137.67,195351578.9,160800412,26368275.11,2023-10-05T00:00:00.000Z,2023-10-05T00:00:00.000Z,35701455.97,69fabb14ef889f04f6e025bbc8ce6fbb0a910b52,2023-10-05T05:42:48.731Z,a77a5d2a-28a9-4773-9c50-4ab4e1a30ed9
4627,,,,,1644449.95,766153.13,740024.45,2023-10-05T00:00:00.000Z,,93100,57ae4b3f136c077140beb7d8cd59527c4a7cb066,2023-10-05T03:42:25.243Z,96685528-ee05-4fd4-afec-e64a8c7e3605
4628,,,,,2584793.19,876282.16,653088.94,2023-10-05T00:00:00.000Z,,25304.39,5aaf61bb9f7c0c0388c8e7ad20054f51721d9ad6,2023-10-05T03:42:25.243Z,6bea8ee4-17c1-43b4-9cae-f89154f6e1c8
